"seed";"dispersal";"divergence_threshold";"competition"
"config_M0_T_1";3389;0;65;0.9
"config_M0_T_2";93427;0.25;65;0.9
"config_M0_T_3";70912;0.5;65;0.9
"config_M0_T_4";18629;0.75;65;0.9
"config_M0_T_5";12886;1;65;0.9
"config_M0_T_6";52742;0;65;0.933333333333333
"config_M0_T_7";8512;0.25;65;0.933333333333333
"config_M0_T_8";26562;0.5;65;0.933333333333333
"config_M0_T_9";20488;0.75;65;0.933333333333333
"config_M0_T_10";22067;1;65;0.933333333333333
"config_M0_T_11";66049;0;65;0.966666666666667
"config_M0_T_12";17110;0.25;65;0.966666666666667
"config_M0_T_13";78869;0.5;65;0.966666666666667
"config_M0_T_14";34802;0.75;65;0.966666666666667
"config_M0_T_15";85729;1;65;0.966666666666667
"config_M0_T_16";9815;0;65;1
"config_M0_T_17";46575;0.25;65;1
"config_M0_T_18";15141;0.5;65;1
"config_M0_T_19";6036;0.75;65;1
"config_M0_T_20";58514;1;65;1
