"seed";"dispersal";"divergence_threshold";"competition"
"config_M1_1";92632;0;65;0.9
"config_M1_2";20319;0.0204081632653061;65;0.9
"config_M1_3";62011;0.0408163265306122;65;0.9
"config_M1_4";13874;0.0612244897959184;65;0.9
"config_M1_5";91455;0.0816326530612245;65;0.9
"config_M1_6";66930;0.102040816326531;65;0.9
"config_M1_7";17900;0.122448979591837;65;0.9
"config_M1_8";3584;0.142857142857143;65;0.9
"config_M1_9";89830;0.163265306122449;65;0.9
"config_M1_10";92395;0.183673469387755;65;0.9
"config_M1_11";85593;0.204081632653061;65;0.9
"config_M1_12";91584;0.224489795918367;65;0.9
"config_M1_13";16862;0.244897959183673;65;0.9
"config_M1_14";43327;0.26530612244898;65;0.9
"config_M1_15";72776;0.285714285714286;65;0.9
"config_M1_16";51525;0.306122448979592;65;0.9
"config_M1_17";67639;0.326530612244898;65;0.9
"config_M1_18";45536;0.346938775510204;65;0.9
"config_M1_19";94691;0.36734693877551;65;0.9
"config_M1_20";9743;0.387755102040816;65;0.9
"config_M1_21";70420;0.408163265306122;65;0.9
"config_M1_22";78718;0.428571428571429;65;0.9
"config_M1_23";78898;0.448979591836735;65;0.9
"config_M1_24";70782;0.469387755102041;65;0.9
"config_M1_25";66843;0.489795918367347;65;0.9
"config_M1_26";81853;0.510204081632653;65;0.9
"config_M1_27";29880;0.530612244897959;65;0.9
"config_M1_28";64777;0.551020408163265;65;0.9
"config_M1_29";72963;0.571428571428571;65;0.9
"config_M1_30";56438;0.591836734693878;65;0.9
"config_M1_31";96797;0.612244897959184;65;0.9
"config_M1_32";35229;0.63265306122449;65;0.9
"config_M1_33";51928;0.653061224489796;65;0.9
"config_M1_34";95334;0.673469387755102;65;0.9
"config_M1_35";2134;0.693877551020408;65;0.9
"config_M1_36";71304;0.714285714285714;65;0.9
"config_M1_37";65954;0.73469387755102;65;0.9
"config_M1_38";44339;0.755102040816326;65;0.9
"config_M1_39";82280;0.775510204081633;65;0.9
"config_M1_40";19389;0.795918367346939;65;0.9
"config_M1_41";16324;0.816326530612245;65;0.9
"config_M1_42";99516;0.836734693877551;65;0.9
"config_M1_43";38827;0.857142857142857;65;0.9
"config_M1_44";25463;0.877551020408163;65;0.9
"config_M1_45";15485;0.897959183673469;65;0.9
"config_M1_46";10225;0.918367346938775;65;0.9
"config_M1_47";13715;0.938775510204082;65;0.9
"config_M1_48";65574;0.959183673469388;65;0.9
"config_M1_49";22146;0.979591836734694;65;0.9
"config_M1_50";63252;1;65;0.9
"config_M1_51";60342;0;65;0.902564102564103
"config_M1_52";62654;0.0204081632653061;65;0.902564102564103
"config_M1_53";49234;0.0408163265306122;65;0.902564102564103
"config_M1_54";85472;0.0612244897959184;65;0.902564102564103
"config_M1_55";71396;0.0816326530612245;65;0.902564102564103
"config_M1_56";50546;0.102040816326531;65;0.902564102564103
"config_M1_57";94058;0.122448979591837;65;0.902564102564103
"config_M1_58";91631;0.142857142857143;65;0.902564102564103
"config_M1_59";93614;0.163265306122449;65;0.902564102564103
"config_M1_60";60769;0.183673469387755;65;0.902564102564103
"config_M1_61";95546;0.204081632653061;65;0.902564102564103
"config_M1_62";29313;0.224489795918367;65;0.902564102564103
"config_M1_63";2174;0.244897959183673;65;0.902564102564103
"config_M1_64";660;0.26530612244898;65;0.902564102564103
"config_M1_65";19428;0.285714285714286;65;0.902564102564103
"config_M1_66";50673;0.306122448979592;65;0.902564102564103
"config_M1_67";14200;0.326530612244898;65;0.902564102564103
"config_M1_68";75341;0.346938775510204;65;0.902564102564103
"config_M1_69";84408;0.36734693877551;65;0.902564102564103
"config_M1_70";25234;0.387755102040816;65;0.902564102564103
"config_M1_71";80097;0.408163265306122;65;0.902564102564103
"config_M1_72";33339;0.428571428571429;65;0.902564102564103
"config_M1_73";59101;0.448979591836735;65;0.902564102564103
"config_M1_74";78013;0.469387755102041;65;0.902564102564103
"config_M1_75";64423;0.489795918367347;65;0.902564102564103
"config_M1_76";4686;0.510204081632653;65;0.902564102564103
"config_M1_77";47564;0.530612244897959;65;0.902564102564103
"config_M1_78";58990;0.551020408163265;65;0.902564102564103
"config_M1_79";30607;0.571428571428571;65;0.902564102564103
"config_M1_80";72545;0.591836734693878;65;0.902564102564103
"config_M1_81";80651;0.612244897959184;65;0.902564102564103
"config_M1_82";41635;0.63265306122449;65;0.902564102564103
"config_M1_83";64090;0.653061224489796;65;0.902564102564103
"config_M1_84";30066;0.673469387755102;65;0.902564102564103
"config_M1_85";30050;0.693877551020408;65;0.902564102564103
"config_M1_86";64627;0.714285714285714;65;0.902564102564103
"config_M1_87";42379;0.73469387755102;65;0.902564102564103
"config_M1_88";45718;0.755102040816326;65;0.902564102564103
"config_M1_89";45799;0.775510204081633;65;0.902564102564103
"config_M1_90";32248;0.795918367346939;65;0.902564102564103
"config_M1_91";98973;0.816326530612245;65;0.902564102564103
"config_M1_92";12767;0.836734693877551;65;0.902564102564103
"config_M1_93";45380;0.857142857142857;65;0.902564102564103
"config_M1_94";81891;0.877551020408163;65;0.902564102564103
"config_M1_95";36503;0.897959183673469;65;0.902564102564103
"config_M1_96";30476;0.918367346938775;65;0.902564102564103
"config_M1_97";7023;0.938775510204082;65;0.902564102564103
"config_M1_98";80710;0.959183673469388;65;0.902564102564103
"config_M1_99";24027;0.979591836734694;65;0.902564102564103
"config_M1_100";20015;1;65;0.902564102564103
"config_M1_101";93787;0;65;0.905128205128205
"config_M1_102";87033;0.0204081632653061;65;0.905128205128205
"config_M1_103";15837;0.0408163265306122;65;0.905128205128205
"config_M1_104";11506;0.0612244897959184;65;0.905128205128205
"config_M1_105";55737;0.0816326530612245;65;0.905128205128205
"config_M1_106";87953;0.102040816326531;65;0.905128205128205
"config_M1_107";23694;0.122448979591837;65;0.905128205128205
"config_M1_108";79999;0.142857142857143;65;0.905128205128205
"config_M1_109";84475;0.163265306122449;65;0.905128205128205
"config_M1_110";34611;0.183673469387755;65;0.905128205128205
"config_M1_111";93836;0.204081632653061;65;0.905128205128205
"config_M1_112";55832;0.224489795918367;65;0.905128205128205
"config_M1_113";33769;0.244897959183673;65;0.905128205128205
"config_M1_114";52023;0.26530612244898;65;0.905128205128205
"config_M1_115";4505;0.285714285714286;65;0.905128205128205
"config_M1_116";26465;0.306122448979592;65;0.905128205128205
"config_M1_117";35690;0.326530612244898;65;0.905128205128205
"config_M1_118";84179;0.346938775510204;65;0.905128205128205
"config_M1_119";63831;0.36734693877551;65;0.905128205128205
"config_M1_120";47132;0.387755102040816;65;0.905128205128205
"config_M1_121";58499;0.408163265306122;65;0.905128205128205
"config_M1_122";37023;0.428571428571429;65;0.905128205128205
"config_M1_123";70770;0.448979591836735;65;0.905128205128205
"config_M1_124";63828;0.469387755102041;65;0.905128205128205
"config_M1_125";38145;0.489795918367347;65;0.905128205128205
"config_M1_126";71396;0.510204081632653;65;0.905128205128205
"config_M1_127";33174;0.530612244897959;65;0.905128205128205
"config_M1_128";99015;0.551020408163265;65;0.905128205128205
