"seed";"dispersal";"divergence_threshold";"competition"
"config_M1_1";87548;0;55;0.9
"config_M1_2";50591;0.0526315789473684;55;0.9
"config_M1_3";76467;0.105263157894737;55;0.9
"config_M1_4";95228;0.157894736842105;55;0.9
"config_M1_5";65647;0.210526315789474;55;0.9
"config_M1_6";99145;0.263157894736842;55;0.9
"config_M1_7";27212;0.315789473684211;55;0.9
"config_M1_8";28888;0.368421052631579;55;0.9
"config_M1_9";47743;0.421052631578947;55;0.9
"config_M1_10";78556;0.473684210526316;55;0.9
"config_M1_11";28103;0.526315789473684;55;0.9
"config_M1_12";54302;0.578947368421053;55;0.9
"config_M1_13";14026;0.631578947368421;55;0.9
"config_M1_14";30983;0.684210526315789;55;0.9
"config_M1_15";88928;0.736842105263158;55;0.9
"config_M1_16";64691;0.789473684210526;55;0.9
"config_M1_17";54609;0.842105263157895;55;0.9
"config_M1_18";98665;0.894736842105263;55;0.9
"config_M1_19";59290;0.947368421052632;55;0.9
"config_M1_20";15534;1;55;0.9
"config_M1_21";95310;0;60;0.9
"config_M1_22";65357;0.0526315789473684;60;0.9
"config_M1_23";57871;0.105263157894737;60;0.9
"config_M1_24";39682;0.157894736842105;60;0.9
"config_M1_25";74004;0.210526315789474;60;0.9
"config_M1_26";55345;0.263157894736842;60;0.9
"config_M1_27";17250;0.315789473684211;60;0.9
"config_M1_28";83377;0.368421052631579;60;0.9
"config_M1_29";25152;0.421052631578947;60;0.9
"config_M1_30";63063;0.473684210526316;60;0.9
"config_M1_31";85521;0.526315789473684;60;0.9
"config_M1_32";87207;0.578947368421053;60;0.9
"config_M1_33";55875;0.631578947368421;60;0.9
"config_M1_34";8808;0.684210526315789;60;0.9
"config_M1_35";77937;0.736842105263158;60;0.9
"config_M1_36";91374;0.789473684210526;60;0.9
"config_M1_37";99529;0.842105263157895;60;0.9
"config_M1_38";34342;0.894736842105263;60;0.9
"config_M1_39";65388;0.947368421052632;60;0.9
"config_M1_40";31340;1;60;0.9
"config_M1_41";98492;0;65;0.9
"config_M1_42";39841;0.0526315789473684;65;0.9
"config_M1_43";5257;0.105263157894737;65;0.9
"config_M1_44";89741;0.157894736842105;65;0.9
"config_M1_45";39273;0.210526315789474;65;0.9
"config_M1_46";13013;0.263157894736842;65;0.9
"config_M1_47";21465;0.315789473684211;65;0.9
"config_M1_48";80943;0.368421052631579;65;0.9
"config_M1_49";88517;0.421052631578947;65;0.9
"config_M1_50";44610;0.473684210526316;65;0.9
"config_M1_51";76891;0.526315789473684;65;0.9
"config_M1_52";95318;0.578947368421053;65;0.9
"config_M1_53";50086;0.631578947368421;65;0.9
"config_M1_54";19121;0.684210526315789;65;0.9
"config_M1_55";62153;0.736842105263158;65;0.9
"config_M1_56";40542;0.789473684210526;65;0.9
"config_M1_57";52708;0.842105263157895;65;0.9
"config_M1_58";12305;0.894736842105263;65;0.9
"config_M1_59";50498;0.947368421052632;65;0.9
"config_M1_60";50286;1;65;0.9
"config_M1_61";65706;0;70;0.9
"config_M1_62";93688;0.0526315789473684;70;0.9
"config_M1_63";57256;0.105263157894737;70;0.9
"config_M1_64";58546;0.157894736842105;70;0.9
"config_M1_65";62367;0.210526315789474;70;0.9
"config_M1_66";63476;0.263157894736842;70;0.9
"config_M1_67";10211;0.315789473684211;70;0.9
"config_M1_68";37853;0.368421052631579;70;0.9
"config_M1_69";15666;0.421052631578947;70;0.9
"config_M1_70";29262;0.473684210526316;70;0.9
"config_M1_71";90949;0.526315789473684;70;0.9
"config_M1_72";80577;0.578947368421053;70;0.9
"config_M1_73";48293;0.631578947368421;70;0.9
"config_M1_74";41618;0.684210526315789;70;0.9
"config_M1_75";62499;0.736842105263158;70;0.9
"config_M1_76";40258;0.789473684210526;70;0.9
"config_M1_77";22610;0.842105263157895;70;0.9
"config_M1_78";88865;0.894736842105263;70;0.9
"config_M1_79";60131;0.947368421052632;70;0.9
"config_M1_80";80055;1;70;0.9
"config_M1_81";46368;0;75;0.9
"config_M1_82";37196;0.0526315789473684;75;0.9
"config_M1_83";14599;0.105263157894737;75;0.9
"config_M1_84";66004;0.157894736842105;75;0.9
"config_M1_85";66577;0.210526315789474;75;0.9
"config_M1_86";94932;0.263157894736842;75;0.9
"config_M1_87";2074;0.315789473684211;75;0.9
"config_M1_88";82868;0.368421052631579;75;0.9
"config_M1_89";41298;0.421052631578947;75;0.9
"config_M1_90";67723;0.473684210526316;75;0.9
"config_M1_91";81870;0.526315789473684;75;0.9
"config_M1_92";85244;0.578947368421053;75;0.9
"config_M1_93";67003;0.631578947368421;75;0.9
"config_M1_94";87635;0.684210526315789;75;0.9
"config_M1_95";17113;0.736842105263158;75;0.9
"config_M1_96";32080;0.789473684210526;75;0.9
"config_M1_97";45998;0.842105263157895;75;0.9
"config_M1_98";41363;0.894736842105263;75;0.9
"config_M1_99";82707;0.947368421052632;75;0.9
"config_M1_100";74043;1;75;0.9
"config_M1_101";97953;0;55;0.905263157894737
"config_M1_102";70188;0.0526315789473684;55;0.905263157894737
"config_M1_103";890;0.105263157894737;55;0.905263157894737
"config_M1_104";93634;0.157894736842105;55;0.905263157894737
"config_M1_105";54876;0.210526315789474;55;0.905263157894737
"config_M1_106";45894;0.263157894736842;55;0.905263157894737
"config_M1_107";1162;0.315789473684211;55;0.905263157894737
"config_M1_108";79374;0.368421052631579;55;0.905263157894737
"config_M1_109";14768;0.421052631578947;55;0.905263157894737
"config_M1_110";26251;0.473684210526316;55;0.905263157894737
"config_M1_111";34528;0.526315789473684;55;0.905263157894737
"config_M1_112";93687;0.578947368421053;55;0.905263157894737
"config_M1_113";85876;0.631578947368421;55;0.905263157894737
"config_M1_114";76629;0.684210526315789;55;0.905263157894737
"config_M1_115";47732;0.736842105263158;55;0.905263157894737
"config_M1_116";72723;0.789473684210526;55;0.905263157894737
"config_M1_117";77631;0.842105263157895;55;0.905263157894737
"config_M1_118";20350;0.894736842105263;55;0.905263157894737
"config_M1_119";22964;0.947368421052632;55;0.905263157894737
"config_M1_120";47522;1;55;0.905263157894737
"config_M1_121";19679;0;60;0.905263157894737
"config_M1_122";87513;0.0526315789473684;60;0.905263157894737
"config_M1_123";87225;0.105263157894737;60;0.905263157894737
"config_M1_124";5159;0.157894736842105;60;0.905263157894737
"config_M1_125";92963;0.210526315789474;60;0.905263157894737
"config_M1_126";14117;0.263157894736842;60;0.905263157894737
"config_M1_127";47009;0.315789473684211;60;0.905263157894737
"config_M1_128";55523;0.368421052631579;60;0.905263157894737
"config_M1_129";49637;0.421052631578947;60;0.905263157894737
"config_M1_130";37121;0.473684210526316;60;0.905263157894737
"config_M1_131";57289;0.526315789473684;60;0.905263157894737
"config_M1_132";3733;0.578947368421053;60;0.905263157894737
"config_M1_133";83134;0.631578947368421;60;0.905263157894737
"config_M1_134";90758;0.684210526315789;60;0.905263157894737
"config_M1_135";88535;0.736842105263158;60;0.905263157894737
"config_M1_136";15604;0.789473684210526;60;0.905263157894737
"config_M1_137";30556;0.842105263157895;60;0.905263157894737
"config_M1_138";66057;0.894736842105263;60;0.905263157894737
"config_M1_139";87904;0.947368421052632;60;0.905263157894737
"config_M1_140";18702;1;60;0.905263157894737
"config_M1_141";96027;0;65;0.905263157894737
"config_M1_142";14936;0.0526315789473684;65;0.905263157894737
"config_M1_143";82005;0.105263157894737;65;0.905263157894737
"config_M1_144";61065;0.157894736842105;65;0.905263157894737
"config_M1_145";79084;0.210526315789474;65;0.905263157894737
"config_M1_146";37742;0.263157894736842;65;0.905263157894737
"config_M1_147";466;0.315789473684211;65;0.905263157894737
"config_M1_148";83882;0.368421052631579;65;0.905263157894737
"config_M1_149";69454;0.421052631578947;65;0.905263157894737
"config_M1_150";16581;0.473684210526316;65;0.905263157894737
"config_M1_151";62905;0.526315789473684;65;0.905263157894737
"config_M1_152";6373;0.578947368421053;65;0.905263157894737
