"Ma","sea_level"
0,0
0.01,-52.3675591679227
0.02,-104.735118335845
0.03,-91.6189537481575
0.04,-78.5027891604696
0.05,-65.3866245727817
0.06,-52.2704599850938
0.07,-39.1542953974059
0.08,-26.038130809718
0.09,-12.9219662220301
0.1,0.194198365657826
0.11,-57.2286062923124
0.12,-114.651410950283
0.13,-100.289592924444
0.14,-85.9277748986063
0.15,-71.5659568727682
0.16,-57.2041388469301
0.17,-42.8423208210919
0.18,-28.4805027952538
0.19,-14.1186847694157
0.2,0.243133256422434
0.21,-55.7439700298549
0.22,-111.731073316132
0.23,-97.7300418455494
0.24,-83.7290103749665
0.25,-69.7279789043836
0.26,-55.7269474338007
0.27,-41.7259159632178
0.28,-27.7248844926349
0.29,-13.723853022052
0.3,0.277178448530879
0.31,-48.1744085526082
0.32,-96.6259955537473
0.33,-84.5933440814603
0.34,-72.5606926091734
0.35,-60.5280411368864
0.36,-48.4953896645995
0.37,-36.4627381923125
0.38,-24.4300867200256
0.39,-12.3974352477386
0.4,-0.364783775451705
0.41,-51.8460865165648
0.42,-103.327389257678
0.43,-90.5031563319679
0.44,-77.6789234062579
0.45,-64.8546904805479
0.46,-52.0304575548379
0.47,-39.2062246291278
0.48,-26.3819917034178
0.49,-13.5577587777078
0.5,-0.733525851997778
0.51,-48.9482127465543
0.52,-97.1628996411108
0.53,-85.0259809342378
0.54,-72.8890622273647
0.55,-60.7521435204917
0.56,-48.6152248136186
0.57,-36.4783061067456
0.58,-24.3413873998725
0.59,-12.2044686929995
0.6,-0.0675499861264038
0.61,-49.4030605413279
0.62,-98.7385710965293
0.63,-86.2738078710823
0.64,-73.8090446456353
0.65,-61.3442814201883
0.66,-48.8795181947413
0.67,-36.4147549692942
0.68,-23.9499917438472
0.69,-11.4852285184002
0.7,0.979534707046813
0.71,-45.8730219088829
0.72,-92.7255785248127
0.73,-81.0762993109187
0.74,-69.4270200970246
0.75,-57.7777408831306
0.76,-46.1284616692366
0.77,-34.4791824553426
0.78,-22.8299032414485
0.79,-11.1806240275545
0.8,0.468655186339514
0.81,-47.5934835801274
0.82,-95.6556223465942
0.83,-83.7870203172874
0.84,-71.9184182879806
0.85,-60.0498162586739
0.86,-48.1812142293671
0.87,-36.3126122000603
0.88,-24.4440101707535
0.89,-12.5754081414467
0.9,-0.706806112139915
0.91,-47.2832907020426
0.92,-93.8597752919452
0.93,-82.0439725268755
0.94,-70.2281697618059
0.95,-58.4123669967362
0.96,-46.5965642316666
0.97,-34.7807614665969
0.98,-22.9649587015273
0.99,-11.1491559364576
1,0.666646828612038
1.01,-42.1666968069616
1.02,-85.0000404425352
1.03,-74.3191967837385
1.04,-63.6383531249418
1.05,-52.9575094661452
1.06,-42.2766658073485
1.07,-31.5958221485518
1.08,-20.9149784897552
1.09,-10.2341348309585
1.1,0.446708827838155
1.11,-45.1967261563376
1.12,-90.8401611405134
1.13,-79.809593812107
1.14,-68.7790264837006
1.15,-57.7484591552942
1.16,-46.7178918268878
1.17,-35.6873244984814
1.18,-24.6567571700751
1.19,-13.6261898416687
1.2,-2.5956225132623
1.21,-45.0726944639955
1.22,-87.5497664147287
1.23,-76.4162802153175
1.24,-65.2827940159063
1.25,-54.1493078164951
1.26,-43.0158216170839
1.27,-31.8823354176727
1.28,-20.7488492182615
1.29,-9.61536301885027
1.3,1.51812318056092
1.31,-41.4929834632662
1.32,-84.5040901070933
1.33,-73.8539128118137
1.34,-63.203735516534
1.35,-52.5535582212543
1.36,-41.9033809259746
1.37,-31.2532036306949
1.38,-20.6030263354152
1.39,-9.95284904013555
1.4,0.697328255144144
1.41,-39.6217553650249
1.42,-79.9408389851938
1.43,-69.9467881468812
1.44,-59.9527373085686
1.45,-49.958686470256
1.46,-39.9646356319434
1.47,-29.9705847936308
1.48,-19.9765339553182
