"seed";"dispersal";"divergence_threshold";"competition"
"config_M0_1";73700;0;65;0.9
"config_M0_2";99853;0.0526315789473684;65;0.9
"config_M0_3";98883;0.105263157894737;65;0.9
"config_M0_4";76179;0.157894736842105;65;0.9
"config_M0_5";8759;0.210526315789474;65;0.9
"config_M0_6";3076;0.263157894736842;65;0.9
"config_M0_7";49698;0.315789473684211;65;0.9
"config_M0_8";43624;0.368421052631579;65;0.9
"config_M0_9";85011;0.421052631578947;65;0.9
"config_M0_10";6648;0.473684210526316;65;0.9
"config_M0_11";49637;0.526315789473684;65;0.9
"config_M0_12";70970;0.578947368421053;65;0.9
"config_M0_13";89402;0.631578947368421;65;0.9
"config_M0_14";93639;0.684210526315789;65;0.9
"config_M0_15";51785;0.736842105263158;65;0.9
"config_M0_16";62786;0.789473684210526;65;0.9
"config_M0_17";63051;0.842105263157895;65;0.9
"config_M0_18";87449;0.894736842105263;65;0.9
"config_M0_19";30290;0.947368421052632;65;0.9
"config_M0_20";90785;1;65;0.9
"config_M0_21";62010;0;65;0.905263157894737
"config_M0_22";30428;0.0526315789473684;65;0.905263157894737
"config_M0_23";77629;0.105263157894737;65;0.905263157894737
"config_M0_24";81357;0.157894736842105;65;0.905263157894737
"config_M0_25";2248;0.210526315789474;65;0.905263157894737
"config_M0_26";38359;0.263157894736842;65;0.905263157894737
"config_M0_27";76704;0.315789473684211;65;0.905263157894737
"config_M0_28";917;0.368421052631579;65;0.905263157894737
"config_M0_29";89111;0.421052631578947;65;0.905263157894737
"config_M0_30";64665;0.473684210526316;65;0.905263157894737
"config_M0_31";33407;0.526315789473684;65;0.905263157894737
"config_M0_32";50249;0.578947368421053;65;0.905263157894737
"config_M0_33";57829;0.631578947368421;65;0.905263157894737
"config_M0_34";2874;0.684210526315789;65;0.905263157894737
"config_M0_35";89893;0.736842105263158;65;0.905263157894737
"config_M0_36";36946;0.789473684210526;65;0.905263157894737
"config_M0_37";7305;0.842105263157895;65;0.905263157894737
"config_M0_38";58803;0.894736842105263;65;0.905263157894737
"config_M0_39";59042;0.947368421052632;65;0.905263157894737
"config_M0_40";95045;1;65;0.905263157894737
"config_M0_41";33187;0;65;0.910526315789474
"config_M0_42";92829;0.0526315789473684;65;0.910526315789474
"config_M0_43";7892;0.105263157894737;65;0.910526315789474
"config_M0_44";55166;0.157894736842105;65;0.910526315789474
"config_M0_45";27136;0.210526315789474;65;0.910526315789474
"config_M0_46";22397;0.263157894736842;65;0.910526315789474
"config_M0_47";1423;0.315789473684211;65;0.910526315789474
"config_M0_48";90507;0.368421052631579;65;0.910526315789474
"config_M0_49";53545;0.421052631578947;65;0.910526315789474
"config_M0_50";71217;0.473684210526316;65;0.910526315789474
"config_M0_51";69029;0.526315789473684;65;0.910526315789474
"config_M0_52";76;0.578947368421053;65;0.910526315789474
"config_M0_53";60420;0.631578947368421;65;0.910526315789474
"config_M0_54";34841;0.684210526315789;65;0.910526315789474
"config_M0_55";89541;0.736842105263158;65;0.910526315789474
"config_M0_56";57581;0.789473684210526;65;0.910526315789474
"config_M0_57";88989;0.842105263157895;65;0.910526315789474
"config_M0_58";96773;0.894736842105263;65;0.910526315789474
"config_M0_59";59054;0.947368421052632;65;0.910526315789474
"config_M0_60";97213;1;65;0.910526315789474
"config_M0_61";58112;0;65;0.915789473684211
"config_M0_62";55368;0.0526315789473684;65;0.915789473684211
"config_M0_63";70713;0.105263157894737;65;0.915789473684211
"config_M0_64";38493;0.157894736842105;65;0.915789473684211
"config_M0_65";73271;0.210526315789474;65;0.915789473684211
"config_M0_66";4703;0.263157894736842;65;0.915789473684211
"config_M0_67";85780;0.315789473684211;65;0.915789473684211
"config_M0_68";47557;0.368421052631579;65;0.915789473684211
"config_M0_69";38166;0.421052631578947;65;0.915789473684211
"config_M0_70";4068;0.473684210526316;65;0.915789473684211
"config_M0_71";47231;0.526315789473684;65;0.915789473684211
"config_M0_72";94559;0.578947368421053;65;0.915789473684211
"config_M0_73";14534;0.631578947368421;65;0.915789473684211
"config_M0_74";60099;0.684210526315789;65;0.915789473684211
"config_M0_75";13793;0.736842105263158;65;0.915789473684211
"config_M0_76";98215;0.789473684210526;65;0.915789473684211
"config_M0_77";89052;0.842105263157895;65;0.915789473684211
"config_M0_78";39429;0.894736842105263;65;0.915789473684211
"config_M0_79";82008;0.947368421052632;65;0.915789473684211
"config_M0_80";65035;1;65;0.915789473684211
"config_M0_81";17600;0;65;0.921052631578947
"config_M0_82";41298;0.0526315789473684;65;0.921052631578947
"config_M0_83";24062;0.105263157894737;65;0.921052631578947
"config_M0_84";27766;0.157894736842105;65;0.921052631578947
"config_M0_85";88456;0.210526315789474;65;0.921052631578947
"config_M0_86";84631;0.263157894736842;65;0.921052631578947
"config_M0_87";80968;0.315789473684211;65;0.921052631578947
"config_M0_88";73070;0.368421052631579;65;0.921052631578947
"config_M0_89";17620;0.421052631578947;65;0.921052631578947
"config_M0_90";74599;0.473684210526316;65;0.921052631578947
"config_M0_91";95518;0.526315789473684;65;0.921052631578947
"config_M0_92";57544;0.578947368421053;65;0.921052631578947
"config_M0_93";37290;0.631578947368421;65;0.921052631578947
"config_M0_94";88052;0.684210526315789;65;0.921052631578947
"config_M0_95";2291;0.736842105263158;65;0.921052631578947
"config_M0_96";9385;0.789473684210526;65;0.921052631578947
"config_M0_97";29285;0.842105263157895;65;0.921052631578947
"config_M0_98";88671;0.894736842105263;65;0.921052631578947
"config_M0_99";85488;0.947368421052632;65;0.921052631578947
"config_M0_100";22502;1;65;0.921052631578947
"config_M0_101";54188;0;65;0.926315789473684
"config_M0_102";97393;0.0526315789473684;65;0.926315789473684
"config_M0_103";18202;0.105263157894737;65;0.926315789473684
"config_M0_104";40205;0.157894736842105;65;0.926315789473684
"config_M0_105";93739;0.210526315789474;65;0.926315789473684
"config_M0_106";42557;0.263157894736842;65;0.926315789473684
"config_M0_107";85998;0.315789473684211;65;0.926315789473684
"config_M0_108";91570;0.368421052631579;65;0.926315789473684
"config_M0_109";4706;0.421052631578947;65;0.926315789473684
"config_M0_110";80488;0.473684210526316;65;0.926315789473684
"config_M0_111";83200;0.526315789473684;65;0.926315789473684
"config_M0_112";84398;0.578947368421053;65;0.926315789473684
"config_M0_113";15711;0.631578947368421;65;0.926315789473684
