"seed";"dispersal";"divergence_threshold";"competition"
"config_M1_1";48225;0.4;50;0.91
"config_M1_2";28446;0.4;52;0.91
"config_M1_3";20102;0.4;53;0.91
"config_M1_4";50404;0.4;55;0.91
"config_M1_5";79261;0.4;57;0.91
"config_M1_6";32246;0.4;59;0.91
"config_M1_7";59179;0.4;60;0.91
"config_M1_8";63877;0.4;62;0.91
"config_M1_9";99040;0.4;64;0.91
"config_M1_10";64443;0.4;66;0.91
"config_M1_11";19885;0.4;67;0.91
"config_M1_12";13639;0.4;69;0.91
"config_M1_13";57095;0.4;71;0.91
"config_M1_14";74061;0.4;72;0.91
"config_M1_15";69929;0.4;74;0.91
"config_M1_16";93553;0.4;76;0.91
"config_M1_17";7071;0.4;78;0.91
"config_M1_18";50438;0.4;79;0.91
"config_M1_19";47032;0.4;81;0.91
"config_M1_20";70697;0.4;83;0.91
"config_M1_21";39303;0.4;84;0.91
"config_M1_22";52640;0.4;86;0.91
"config_M1_23";52131;0.4;88;0.91
"config_M1_24";34602;0.4;90;0.91
"config_M1_25";82856;0.4;91;0.91
"config_M1_26";96003;0.4;93;0.91
"config_M1_27";86759;0.4;95;0.91
"config_M1_28";72781;0.4;97;0.91
"config_M1_29";75037;0.4;98;0.91
"config_M1_30";31147;0.4;100;0.91
